Comercializadora,Tarifa,Precio_Potencia_P1,Precio_Potencia_P2,Precio_Potencia_P3,Precio_Potencia_P4,Precio_Potencia_P5,Precio_Potencia_P6,Precio_Energía_P1,Precio_Energía_P2,Precio_Energía_P3,Precio_Energía_P4,Precio_Energía_P5,Precio_Energía_P6,Fecha_Inicio,Fecha_Finalizacion
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.105256,0.105256,0.105256,0.105256,0.105256,0.105256,2019-11-01,2019-12-01 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.09185800000000001,0.09185800000000001,0.09185800000000001,0.09185800000000001,0.09185800000000001,0.09185800000000001,2019-11-01,2019-12-01 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.125685,0.125685,0.125685,0.125685,0.125685,0.125685,2019-10-01,2019-11-01 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.144995,0.144995,0.144995,0.144995,0.144995,0.144995,2019-10-01,2019-11-01 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.139018,0.139018,0.139018,0.139018,0.139018,0.139018,2019-10-01,2019-11-01 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.157551,0.157551,0.157551,0.157551,0.157551,0.157551,2019-10-01,2019-11-01 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.106808,0.106808,0.106808,0.106808,0.106808,0.106808,2019-10-01,2019-11-01 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.09303199999999999,0.09303199999999999,0.09303199999999999,0.09303199999999999,0.09303199999999999,0.09303199999999999,2019-10-01,2019-11-01 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.12472799999999999,0.12472799999999999,0.12472799999999999,0.12472799999999999,0.12472799999999999,0.12472799999999999,2019-09-01,2019-10-01 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.143966,0.143966,0.143966,0.143966,0.143966,0.143966,2019-09-01,2019-10-01 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.13806100000000002,0.13806100000000002,0.13806100000000002,0.13806100000000002,0.13806100000000002,0.13806100000000002,2019-09-01,2019-10-01 00:00:00
